Height,Input,Output,Sum,Time
546,"['1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi']","['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '1', '1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '24']",['25'],2009-01-15 06:08:20
546,"['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5']","['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '25']",['25'],2009-01-15 06:08:20
546,['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv'],"['1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '1', '1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '24']",['25'],2009-01-15 06:08:20
586,"['1DNdPgBZRWjDj1JbVZQEYMv7jvqJF7R4Py', '1ELmSkQWnqgbBZNzxAZHts3MEYCngqRBeD', '1ADpf5rHERc2PmVAZZFoH7WbougKvkPDVD', '1ACWHyRM8rtbt96KauPJprnF2qDQSdPJ54', '1LfjLrBDYyPbvGMiD9jURxyAupdYujsBdK']","['19QKDUJtx9n7Vaga6nX1bVHdsnT4Khfyi6', '250']",['250'],2009-01-15 14:25:20
586,['1E5npMTmh9PnBHxCacuqzAZRGEybkxPMAq'],"['1QKJnFPvRoZ7avBhxqwxhsEv62JWYoB1R9', '50']",['50'],2009-01-15 14:25:20
2812,['1BEAp84rY4U2MJNmUkaF9BNavTEEG3ZSfd'],"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '50']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '50']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1Fmjwt8172FZT5XdKnzTUcEEzc1T2MCg2a', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.99']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1CbAopr7sNMKjsJa8dAS6P5sM788kmMooo', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.98']",['49.99'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1Hr2Pj6p984sZ8eC9333vZTkfZhASTEMPN', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.97']",['49.98'],2009-02-03 04:47:39
2813,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['12BiYB811ywaQMYxP6uW8HzbJ8UjYhFLHC', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.96']",['49.97'],2009-02-03 04:53:54
2813,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1NwUjqNdrfkz5nrZZ1FYEHtidex1Xart95', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.95']",['49.96'],2009-02-03 04:53:54
2813,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1DvEeksZiy8cxfWhC9j1mHYSo9eeXk1KUZ', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.94']",['49.95'],2009-02-03 04:53:54
2813,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1ACHpxEQg9hWgqFiBGu6r6g7Bgbtgrsr4p', '15', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '34.94']",['49.94'],2009-02-03 04:53:54
2813,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1ACHpxEQg9hWgqFiBGu6r6g7Bgbtgrsr4p', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '34.93']",['34.94'],2009-02-03 04:53:54
2817,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '1', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '32.93']",['33.93'],2009-02-03 05:16:42
2817,"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm']","['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '1', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '31.93']",['32.93'],2009-02-03 05:16:42
2817,"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm']","['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '32.91']",['32.92'],2009-02-03 05:16:42
3309,"['1JSnYFMbMbAB9hCT78WWAP32Hhc6EaVBSJ', '19H1kGT38pPTxPSZbc3qrS7VSkACMY4hmj', '1BHmtnv7XQbYEKtBLdBx3tHGQJ9sXPrGsL']","['1NBNWXmmMCi9ZSNeC6jwCYVw5gKYpfqUZi', '150']",['150'],2009-02-07 02:54:26
3309,['1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ'],"['19huNZcrTUiHeZCjYhkXTYTx2K48j8h7ka', '2', '1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ', '48']",['50'],2009-02-07 02:54:26
3309,"['1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ', '1Bwuz8F4U4cZvsHopezPHaCkxvAJjXiPsv', '1Ej46bsDk7PdQe86QpjrUPCksmxStzL3dx', '15ujSgyjRLp3vgiwiN4CLgYDfC1TJRhTa3']","['1E87cVPLZ938w7vYEA1e9RWSc8mESPA3J5', '198']",['198'],2009-02-07 02:54:26
5217,"['1N2n4QmwvN7XVtvo1r5diNiKKdudBWXTFt', '1CunnTGVXASBSYFSFDauzMGq7s2EP73Kg9', '1BxMsLrkfxgWqAWPzB9oWbhNHcjdNEZZzB', '1JarbYXHxTCwYZGSbzSib4Gfyp3VZnZusF']","['1KNbLi88guJMmEjDfi2bfRu7paKJvKUo5A', '200']",['200'],2009-02-22 10:32:25
5217,['13DuLyxajWmwwsg63iZUFWKXRtQMuSDhtz'],"['16B4L9Cr5U5jvTPtXWSBB9F96pETrkgRcL', '50']",['50'],2009-02-22 10:32:25
5219,"['1KNbLi88guJMmEjDfi2bfRu7paKJvKUo5A', '19kZpHcrFUMgfT3Gdv6VP5PWDsko6WB1GX', '1AtEFkW7v3XvsAsqoKrvoE1zi8edfmLETK', '16B4L9Cr5U5jvTPtXWSBB9F96pETrkgRcL', '1GcEifCQ8QJ5j9vzbNuhDHyBdNxTgieSio']","['1G2Sbv2oDGPiSWQ8XammxBSiFRukwrAah7', '400']",['400'],2009-02-22 10:50:53
5219,['1G2Sbv2oDGPiSWQ8XammxBSiFRukwrAah7'],"['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '400']",['400'],2009-02-22 10:50:53
6156,"['15XCNtifYkTMW5KqNU877MHtaB5YpbzFnd', '1PqLpZjTj5MAYU85qvdK5xHH92bpdXgx34', '1CH2Zdxs5mEvreoexcaJCBTkfkTFDtpPFi', '1FK4tAyRr2VzanoGCFZf5mYfKjiYZzzKj9', '1FNoDLf1JAExBqqUbrH26Urax763jVqTu6']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '250']",['250'],2009-03-03 04:24:25
6156,"['182VpquAsnVE2Y69Ac89gTBT46VePargZ4', '1MQMXHK4orB9Qdc976md9BpkWwatfBgDDh', '16QJWbGGa5gCJqiph4XD9UQtb9XZ5nA9bA']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '150']",['150'],2009-03-03 04:24:25
6764,['12d2XXfBBMLiGK7HJfnuf26nS4prtmBzSx'],"['1L55MZRkGSmKJH9XLsHxEyaY2ndWERmwps', '50']",['50'],2009-03-08 17:14:52
6764,"['1Lx1JLY9JYCc5JSAqKABmtX2msJWXRGMJp', '1PcVSf9U9mYKPYxtkVU6LRXLDBeqB3JUuC', '19P1ynmHA67Ss9kiVcG7z2oppnoQ7r9VQG', '1KeSxBmdeY6p7vimVKcYzUsVViDjzx3qDZ', '1K5D92GiZhn1QHWvvKwtzaRWVmYWbpfJaJ', '174ucaqYNYWGwwSwwXRrK5E4MX7KnNCsWg']","['16NB2rGfdV8sq12oBC3bXTvvVzZiqvzo8Y', '300']",['300'],2009-03-08 17:14:52
7939,"['15o55Tgc352rmdopstMDHQE1s5skrvkM65', '1EhJARLpa58xZrNkmwBK3cAqbkZ8tUhhkT', '17xqo85PztCMz8PadEhXfi7n2r2CpM7AJW', '12rVs6Y3yypb9TrCY91mWZ88vaWaxRshBC', '1PK2sc3acUyXcoUCUDDKck6Nrq8L4kE8gk', '1Jaw5ZgXH9eQEUFRsBvV4r9HK6ayXB1uu2', '16Sbt34KYrPPHLAJttTLfYKHDyStD7FJG9', '1F4f6kgKm84DdG5a2FsjgUvpAxDmGaQmR9', '16dx8wzF2D7SYRhR2bzkzeepDSU2RW3w3q', '1CFf1ShZSLpKi3f7SkR8DSrYty4h9XkTH3', '1HB4s6LYddQVNQHkhfgcSCNhN47PBbztPA']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '550']",['550'],2009-03-18 23:38:16
7939,"['15fgF9LywYyxHrjCjcjLjL4vXK8AhCMHAG', '16iRWj73m3wN788iLRwEnUkMtP8p8p6wkC', '1DdtAffwNSQEQHTvmY2iMiy1G1wpqWao1n']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '150']",['150'],2009-03-18 23:38:16
8315,"['16AMPEZRUzqqr8SmUqWaykfihrt4vWAqfb', '1GxiWc7y25E4DoFyiCRa8sPHVCNSgDiZ8', '1N8aRF9RZQ6ZrSCnrQCaJwEnSGxqRqToSi', '1JHgtd1DQaVgvdXbbd4Ko4TVpxgVu4wncs', '1NrKjkof6CvFvDgeio3mie62DBHMumiuMD', '1GFmAHTChrgtoxsLbYxnr6csw3vr1S3iBV']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '300']",['300'],2009-03-22 16:31:22
8315,"['14caFiBvCDsHFZEFLCg21GfiNdDLQ75Xud', '1BbKNNU73TPDfEgyPy6KMJACtTUZR3af22', '1H8HegRbLdkhTfnpvbhY5FFjjBwUWn8fDK', '1GaZbjmYjiYHJZ1asxAsMu8LNjzHAghKhm', '14ePDxfEeLanjaWoWa7ro7JrupigmC3sC9']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '250']",['250'],2009-03-22 16:31:22
9006,['1JF8KCuSB9BGNVrSpjp8752w6f2RcD2qPz'],"['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '50']",['50'],2009-03-28 16:06:49
9006,"['14uTer5n9RTEDBnnsqiMdkrV8Wa8qePfFq', '1GT1BcBH4CeFFaqV8kzzwBL88tWSigYYto', '1LuUaBqNDC1PGarwH4rCDKJjfVmaryycMF', '1EViizXKt5EcbfmoudrSGqhRsuzeVfEj1G', '1BHJ8AVzM21pcKeEUzcV8WCjU5PUYfPdJQ', '1Pgn7bVXFEJKYVmk8ACTuJxMaRzSfAXFrr', '1Q4aJUoShWDQSGiryGiFmN8xmgFzb9Yp43', '1LnwtynrPZKZrLfMHatGk7WcEhwGPfqYXq', '1Bm55PiCwoKMzeW1wYsjvzGZZHr8dWiQUD', '17jiJsoeWUW6zX3CwAnrXXoeThugvVUcgz', '1APh41X1g1yTuoC2gqKeivCamAtG3MjZsz', '1JfkUrV1kWtpb3RTftBULzkdqv2CLsERAF', '1LffD6E1xmrxAch1oVCZVmknuV2Np4zfRb', '1FQZn6paUWGDX9CJP284VNKquXHnaSXZhw', '15CzUuMKY9wBi8smyxUJbMV9188XWrTKsj', '1JEJ6tb1wf5PJxmJih7f7gqVVibFtvH9AJ']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '800']",['800'],2009-03-28 16:06:49
9006,"['1BM9J3EB35qc47b76qaF3xKZPevPaDwMDd', '16kUCCZq6Rm73vLUPqnyww5hyhBjukM8Kz', '18GTbjRF7jGt9wsakUa2EQGsAVJVZoLp81']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '150']",['150'],2009-03-28 16:06:49
9962,"['1u8BxzeQiC6x1tYdPxK1i8thUhRYRXbrb', '14P9Bj4cMj5MxPLk5AqXi9F66DmxtnT8ec']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '100']",['100'],2009-04-05 20:43:36
9962,"['1D1CcFSYy24jS69NHsaDBMuAn2gN8zqbv8', '1L7Bv1vrzcdsYZZwCxqKNx5GHcLWRYkaM7', '1CGZgKK4e15fTD6zi9S6qu7Yy3UERGbVE1', '1DwV969FbHcsTPbKjzGH3fAUVCN3x43kTG', '1MBEnZ9Vx2UX5PjGm9VYbeg6vWz65FBiZR', '19JLPk7DPuJqHBA2j4UCMwpgWDkwfUwL2M', '1DMgKZ6WvxKNM6kntTKZeWXejHvNm9XmPo', '1BtvdSfPQ6Loj6yvZQBWk28dmi6Nb9A8kJ', '16x9xnP2fDSN7h61XNLQVEmw2txp2mDZSe', '1Ctso625ksoobGnQCWGzFNgvi3qe1mCEqj', '1KASBVn39iwE8h5WEUJbmjvViPbz1ZW1zh', '1B939jbcHG4zF5RjXHhwMRyK2T7v3wvbaM', '1MU6maEWWkELvk9GQ1i2mXgow9Z9Bmurmi', '1B72gYHoGVoFfqiDRGL2V5jdz1Svqtd43e', '1FHRKL9w7aAudy1QB19RbsuzeGeUQQkCLw']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '750']",['750'],2009-04-05 20:43:36
11408,['1PhUXucRd8FzQved2KGK3g1eKfTHPGjgFu'],"['1JuEjh9znXwqsy5RrnKqgzqY4Ldg7rnj5n', '32.51']",['32.51'],2009-04-18 15:55:19
11408,['1AfRNhdvL5zYL1FTxM9mHyYnHuHK4TpLYh'],"['1JuEjh9znXwqsy5RrnKqgzqY4Ldg7rnj5n', '50']",['50'],2009-04-18 15:55:19
12304,"['1KME4EZZhybYnQkoNUqzMjHE5ER8fzRax8', '13k6ixn3NoNzphgeumeWp94JJHMQd7BuFY']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '100']",['100'],2009-04-26 13:18:39
12304,"['151fqW6XH9tegTf6cpQ6BCSdZVAk9EHZgx', '1J45WCUdX62ShtcG3v8rFK5p2W4VW1NVA9', '1M4Mco4uSHkPEMpm4acqza2E1LgrSeSiM6', '14xfB9fF9Qm14bRy5tQZDNdNUj6xceN8TN', '198gPEVrV6AYaccNckukjprCJ63y18caqm', '138u3CEptNGkBL31JdqqVQRrpkMdy7xm6W', '1LBPRp23Yui13EhBFXf9hAeDjCwxhD7qXF', '1HSwXq9wGLL8RuL8jxu1rJTZYGPXJAVvH3', '1ADrq4oAuySAtTXsu6knDkaWuVz2fpczLB', '1K9Y7RejiegEVBpsA9V2wHdFqAot4BAiiQ', '1LonjUZEk42q4zfq2LASHjM8PQKTos1uFJ', '14Zt3sA7SW4ezNQTkRWw81UDuYPbeAGhz2', '1ERez5kEeErExca62ny6er4SKTiDoGFuKf']","['198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '650']",['650'],2009-04-26 13:18:39
13174,['1M2uVSbEGVVkxouDH3qdJsrRrbctpVo1Rx'],"['12hPHVEb2W5ppJ43i2Mx8SkqebxcSt2Huj', '10', '1M2uVSbEGVVkxouDH3qdJsrRrbctpVo1Rx', '25']",['35'],2009-05-03 21:41:41
13174,"['17sbu8Z9FG9PoyqrgTdQzR8yg3SW8U7Hfv', '12hPHVEb2W5ppJ43i2Mx8SkqebxcSt2Huj']","['1As5cFDjhfNmqCw7EQVDF7KBYNKpGeSrnf', '25']",['25'],2009-05-03 21:41:41
14324,['1EsHBdSHrHQ42UzoBYx6upKu9x25NFXyBP'],"['16juSNx2hwNkGoEpDYu9s6kWjkmk8ufe13', '0.01', '1EsHBdSHrHQ42UzoBYx6upKu9x25NFXyBP', '48.99']",['49'],2009-05-13 21:24:01
14324,['16juSNx2hwNkGoEpDYu9s6kWjkmk8ufe13'],"['1LafXZTNr9u9zEDiYLJjmNJ7TK9pUBvj3z', '0.01']",['0.01'],2009-05-13 21:24:01
14461,['19UYmgDzuqqzG3xbvZfV95NiyWCYMSsaTp'],"['1CScvho8Wz7w774TapxAZHaDK7NzTA4Y2G', '0.01', '19UYmgDzuqqzG3xbvZfV95NiyWCYMSsaTp', '49.99']",['50'],2009-05-14 21:59:33
14461,['19UYmgDzuqqzG3xbvZfV95NiyWCYMSsaTp'],"['1JfGs9cbGRKHpBTZ4WB2hcy6ZCzPJ7BuiN', '49.99']",['49.99'],2009-05-14 21:59:33
21563,"['1GSUxU95RifHzedGR1Fmk2z7oZ6SfUonK4', '1L1TE21xBf1o81S9CnMVsAqg8jP6rCwPz9', '16Ceh8En6L7y2BqfoGts43kfufAYMKqUWG', '17bse2DB6vU7hZPPLnp21RpmQVoa6mZrTj', '1FLjg1NaeM5ynzKtTjq7DtQVWdfM9uLA3e', '1DEv8FoBg7bwfz2dMj6X75VzPEuDgJD33R', '1PsywUmh3cjWFU8JD3rd9F9Qk6u5UNS11z', '1NBaPRiMQuzutvMwKkcNJxXUonBVVBTNKE', '1WAySPyboJSvyj8oc8YbtFtHaXRsNt2BY', '1ERBj1R7VknbTuENhZ7WTjb6hBds2vktv8', '1724eP5dcHkLtmkzdSnUxQ3xQdj6n1PMC2', '1DvTuWSmy8dvHo86EzdqyTMbA4aDRXJQ2g', '1BKZLdT1Rq31GZcTGsWSN8LXSLg7Zt8ZAP', '14HhPwYKtsGwSP7hPL9N9GEssmA3ho1YjF', '1ANLQDQRS8x4BKgXS126XrLvCBGd2ZF4Qq', '1HkSTfzDbUi8Z4ndq5n14bHii9yoJtnn25', '1EY7pLM2ezu2UNMogG1YxBeTXShSXTpFFa', '18pCszeNKDtq7WWQ3NnjtiHfx5FKTFigq8', '1J6vDEXqyFV2LZokuwLhvwefzBENjXVLMD', '1Cnu2HSCup3kXDCnZaQ4hWHEZaChvT9qMP', '1AiJnpJ9qEi9Vbd1H2KGx3MpdiaqEqpaq9', '1JTtynUeqDRn7eWRFDXNxE7THS5yY6xa9G', '1NnNWqovjA7H25yWNFMCKoiojU2SsKaLVM', '1BcvcnMYZoydPHG3i2zC57VPNsStCeB1jA', '18ACuS7iHjZ3stMhcsXAXSnsDL7Fud8Rn9', '1NXXYVm1eK2umRKJFMwiTAXSQNvZtpASXH', '1JkkVJJptPUs12kyuJAzEQzLmVnBUuPzyD', '1LzD4rdoS458ZsRDPgQuWqbVct9yfVuqZ4', '1NpPmJ1FSjTuTKjxwbrf2rvoSBPBnWJ28D', '1LmpmqHwg2mKwKx3FmSi2ysryjbR7FhjqD', '1FXF6c15BDX2eCRfg1fsr7yFjcKj68Ge7e', '18WZji4c3BMcoiNEqj3hk3H6siSE5ZjXMw', '14FSefptcrNZ2avh8PTRd2qh8VLQuxQUoB', '1K8gsC5RxvxbwajinJyTryedW2XinRTC7a', '1NxvtZdaeKUFNcrLUrHoFkiU3du5h1Svs8', '1MXqSY8hNuHeKJUsCGcz79YkxxshbRzFwZ']","['12higDjoCCNXSA95xZMWUdPvXNmkAduhWv', '1800', '1GSUxU95RifHzedGR1Fmk2z7oZ6SfUonK4', '0.13']",['1800.13'],2009-08-26 18:23:18
21563,['18dBAAdfR23pioGd9VN1Ji1pgGoHBr8RBm'],"['12yrUmFBpsoh9CrV38LyxsAtJ4Y7ymNJ7y', '1', '18dBAAdfR23pioGd9VN1Ji1pgGoHBr8RBm', '48.4']",['49.4'],2009-08-26 18:23:18
21563,"['13i2H6JPg2jnrpsr5i2CmMRMLoWusovjt5', '1Bj1hSfkjHqY65tki7LfyqqJbswbrb7K5J', '16UHCNXENBQGjeihbYV4b9pk5yAJ18eJ3P', '18dBAAdfR23pioGd9VN1Ji1pgGoHBr8RBm', '1DWw1AUsgr3ukmySZzEqsCKchzXKKUNho9', '16NFt2ByZmHeeHEZa75Wj35p4Zs3uzQ8Jk', '1gZiJ2sr4Hptje6hEDSzzn5noweQAxskq', '1GSUxU95RifHzedGR1Fmk2z7oZ6SfUonK4', '15X2ffQhwQBrHH6AYQguUh7XwGePN2SHWj', '18tEw5V1a36PhgVXri9Bh8oGTTphPhXYCs', '1PMBdjJzmukn594YNVNnbcidBhJga7XXwn']","['12higDjoCCNXSA95xZMWUdPvXNmkAduhWv', '498.53']",['498.53'],2009-08-26 18:23:18
24434,"['1CUqy4mEvMxgFqR51ZBWpHjyKj7CPmVWTv', '1P5emgrFLxXdD5GNcACbsA1oMzyj3ykNgU', '1JpK9G3mTpbdLQMd27x5VHGNCeFaYtcANH', '1K5aEQs45kQ6oWQX8eTcPSC2eQfVH3Koxm']","['1CBXL5tBSqJZyyCTWVkrLiQsKm4KULBfPA', '200']",['200'],2009-10-06 08:40:58
24434,"['1Kto4hDneKQmYQGkcHZEd3ss24YkWhiyCy', '1FAv5FSN1MikNAY3bi63cJDA3QXPo6sAxd', '1Bd3psXBp8FQSPLfQyWu6M4YjiNuoJFh82', '1MM9wyriteGSCR2WMPZyBb4iTmWg3TaHYu', '15sUbXRtDgPup8mQ2KvGEeZTf7LCQUF4gY', '13ZhuZDkUMmJLRgpKcviE5EmyzqM73A4eS', '1G5heHpgvWwQWbzH6jKihU7DXCHgX7Dwtx', '1HuMa9KsGNTdftFwkKamYzj4VN93dzaM17', '1LYFqJcxz7qA55LeN9NR8bC3QBdTQeCm1i', '1KNCxWvPmmwKPrr1kxV2hRn5cwLGaom8DF', '1CBXL5tBSqJZyyCTWVkrLiQsKm4KULBfPA']","['1CBXL5tBSqJZyyCTWVkrLiQsKm4KULBfPA', '700']",['700'],2009-10-06 08:40:58
26814,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '14500']",['15500'],2009-11-11 01:26:23
26814,"['13mdztM1yScW7hRr1PFthRqhAj1vggtNA5', '14i5M3rsMzxa5J9e3Tw2u7NJeYob9HbKxi', '12FwcjQQpsrzybkWaTDMCEVK867N2vv9ee', '1928hRndTZf21FGJkiWeoxdDmGhWsonNQo', '1KGxBEvHX8H3g8L1nC4v8jZS1P1uUVRHws', '1NrSChMurmPrBubWZp4qskDThyd9ouCNhh', '1Q3DjdHtuNgicQhb8DSP2JBkFgnrpRPmuQ', '1Nsvr83G41hTLcY3uN2q5Habk82s7ppPLH', '1CCe5KdejVcEs12KJxsATmGtdL46oDgqvF', '19mJT5ktQuGKi9csXfy5gUtjRfMzQ9dCbo', '191vtVLpwAvPgbTBzhjBEcgCQwDeK7Rinw', '19PyTEgiukD3fMoEQr4xXVS52KEHa7Vwoi', '1KNTcDtJ7qM5AJQX9ySogYWt6nCZxU2a6L', '1M45oQ4oP5TDLfnkJD2sXaqVr4yzCWwRjH', '1NxTsQL4A4q8HVy8sQjDJHfU4gS8Q68Wo1', '1Li9EZ389txqz5GvaKDf5kZJbNefKAcy35', '1BwZAsoYGKEjzuYQYSo2X6buNaAm6NtCrW', '1PLysA1ayT3EKXwwEuo3D3bW3FNZfQEyNn', '1PJ4agsLM1EMJHDfo1RcCpti8tfPkjaHhC', '14mN5rXMitYx4JccZ28fELpdpFrNY3PXCR']","['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000']",['1000'],2009-11-11 01:26:23
26816,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '13500']",['14500'],2009-11-11 01:42:08
26816,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '12500']",['13500'],2009-11-11 01:42:08
26816,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '11500']",['12500'],2009-11-11 01:42:08
26816,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '10500']",['11500'],2009-11-11 01:42:08
26817,['1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9'],"['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '1000', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9', '9500']",['10500'],2009-11-11 02:03:14
26817,"['1KD3k354HAUn8wbeN2tm63N9Wf46ifnFMR', '1PvXGgon1PiDb1MzAR1fgkR6ipCZKpgydr', '15oNxw6BsqT6NshKVNR4se8sNaGNJ4yg6o', '13WqcY2dtm62HLvYzH5hoD4B1pyutMv9yg', '15BE959qBVEzS6vG5XHqrchoHVQjJEHvju', '1KEGdq5cxqyV8eKPiwcnqWjgekKeY6dC5o', '1H9ktJNZxdk8zkc7xKrMRW8yAoKNDdPpsG', '1JDYt78Yf9FGKCaS6PEuNQNJ1LGTYaFdEu', '1BEQHAi47UQYj6gH9jap6vkKrEZp7Jt8cL', '17YEwAzEdYDzR466XRMjbYR6xVVv1Ey8kF', '1EMPhwUXHGURtSdt5zidbV3zPKruDTKYX9']","['1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy', '10000']",['10000'],2009-11-11 02:03:14
29129,['1MuYpbwHyH8eXnMAXxTkw8EtrhkGmMi4BA'],"['1HCjQQywBWmuv11prAD1zQCzRto7WKqGiC', '1', '1MuYpbwHyH8eXnMAXxTkw8EtrhkGmMi4BA', '48']",['49'],2009-12-09 03:33:30
29129,"['1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD', '1E6Yo2282Fw2G6jSW5MGpYT7AEr5FyKyuN', '1DYDMdMdTKM8v7kkTjJrpwUi6TXyzqG1uE', '1AW5daYLcx6GtB5uhdaUyTf1nGmq79XWcL', '12ZTpN5cCz4kiUwNe8NVakEkm8Yk8WsUyR', '114vQ5qVifgA8P84FduEKQ6HF3JSbHzhgh', '13BqxjxYj3JqeokVmQ5xXayLATpqDvfUQx']","['15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj', '1900']",['1900'],2009-12-09 03:33:30
29169,['1ASgioTDriUuBb5kPyGHvkxbArn3X3KfHG'],"['1Cz3At5sEkLN9KXUCRHAfkPpxryMqV4faz', '1']",['1'],2009-12-09 13:36:10
29169,"['1DTHQEWfQnZTXEXMMWwZZJ3MEJE7PdSpt2', '1MuYpbwHyH8eXnMAXxTkw8EtrhkGmMi4BA', '1NcKTjVinx1LkbJjqhyYbtVTzqY1iekJvx', '19T4D3C1VxXi1Q8csABXzi8UjQbtDMVdci']","['1NJzusXNwRK8Lz4EPLv3YaC17XhCBKeHQ9', '187']",['187'],2009-12-09 13:36:10
