Height,Input,Output,Sum,Time
66285,"['1GkBVX8nCgJ2Pv4rE3r9HzkzyTo248MKKB', '188jF2pjjNwx1Zw5wktTy7wP7zsjBwynjT', '1hyUnc4ZYGdCGMtqpCvL9pKSbN1nUtfjQ', '1KtY8PppiNXw8F6kBTEm9QufH9T53DEWkm', '1JASXsTrJfsbUTEeXmyims6J1KWT9uwJ4g', '1B7cetLTSKP4druMdqSiPjf2ZmCeuaGcb4', '1DMUJVmtvJW1hYnq7xefywwSf5zrYN8RmA', '1NxvF5VtrKM21BijAnmtZtJZTKbm24aHKY', '1Lgjr47YAPKutkmkj225MFgUp3iFHWr6B3']","['17G2pjfKvznmMrgJA1yJoEvYQDsMFkHhND', '6000']",['6000'],2010-07-13 02:21:58
66285,['1Phh3dq2sHPVyp4APAorcs7gDDkukXrtE4'],"['13i4iTPE1yRLB84J7ePBZThgonhDAUqioC', '385', '13T6175hK822Ht4jLfRojpcZ9ZS3x6ZGt6', '5']",['390'],2010-07-13 02:21:58
66285,['1C91d4h8BnNLUJDc2gWvdT3x8x9zGMRNdR'],"['18w62gGFoq8v3wNwYMD8mVs8gL5QFfzMcB', '10']",['10'],2010-07-13 02:21:58
66285,['13i4iTPE1yRLB84J7ePBZThgonhDAUqioC'],"['1HHedNNsqoNKRhXfsaNZ3eUYicfHC97Pn2', '5', '1MoaxNDGhRLgieZp1LhgU5sjmkpD6mWMDB', '380']",['385'],2010-07-13 02:21:58
66285,['1MoaxNDGhRLgieZp1LhgU5sjmkpD6mWMDB'],"['1EaanYxgJ3ERENuuLPyYMmcrWgxudCBAuS', '375', '19gJ81gdJrMEE2ZjxG8Z4N2MTTBPjLdAXY', '5']",['380'],2010-07-13 02:21:58
66288,['188jF2pjjNwx1Zw5wktTy7wP7zsjBwynjT'],"['1J1bedFzhbT7u8SqCcqo8dCoPjVd6ZrfHf', '4', '1LpK3iNEnjb4Vv2x6xZyAgSXKNEaxAdG14', '46']",['50'],2010-07-13 02:20:28
66288,['1EaanYxgJ3ERENuuLPyYMmcrWgxudCBAuS'],"['1Da83TynLaWcknXVEEmaB35GMgsrSybFwu', '370', '1bGN22CgkmCV4C5ZqT5WY77er7s9ZjJsG', '5']",['375'],2010-07-13 02:20:28
66300,['1FUZHSWtpRU9Ux9R5xP1bM6kDcWrsnWx2V'],"['1Ppf23Gyv1nmvqwyXtYs6j7X6oscwUVLkS', '20']",['20'],2010-07-13 02:37:04
66300,['12aro27eH2SbM1N1XT4kgfsx89VkDf2rYK'],"['14CcQ2DmUBCiLg3yZwaA4cMDfdL5ab6p7V', '5']",['5'],2010-07-13 02:37:04
66306,"['19AVhwq2FGpom7Ta9zvpG3j5VjUym9zovF', '1EduYtkRgdba6xTJPHHro69kfkV2ufZiJo']","['15fLzrzRnMhAXb4uoizuvDgcGt8ZH46X9v', '5', '1D71fLYAuP1u51XpFWjfVRzEDyMrNxuvM', '41']",['46'],2010-07-13 02:44:47
