Height,Input,Output,Sum,Time,trans_num,block_date,block_hour,block_minute,block_second,trans_per_block,total_btc_per_block,trans_per_day,total_btc_per_day
301807,['1JavK9jgwZQff4ceUBbLs9RWR53PPMdvfN'],['1DApPkJF9vcLzxLM3YM9vSmUfvQvW8x6Dt'; '14'; '1JavK9jgwZQff4ceUBbLs9RWR53PPMdvfN'; '1.9999'],['15.9999'],2014-05-21T00:01:02Z,15.9999,2014-05-21,0,1,2,427,5591.375074510001,69159,723611.38308853
301982,['1823kTgf76CTx9j7uzJTFbAGUH3NaxroK1'],['16goLRHAq2DQaNHyyHRV1vLnh6JKZSJw5A'; '0.0028'; '1E2Qomyx55xYms8adrG1u1sWoHbHSyjjoi'; '718.9786'],['718.9814'],2014-05-22T00:05:38Z,718.9814,2014-05-22,0,5,38,1003,11949.34605807,72828,765546.14914607
302154,['1QD5Pe7GsY6anS85M2k6gatKdc7WRG3ZZf'],['15kRYHoxsgv7m8ZwxMwwih4mdJY1UFS5o3'; '1'; '1QD5Pe7GsY6anS85M2k6gatKdc7WRG3ZZf'; '1.012122'],['2.012122'],2014-05-23T00:01:34Z,2.012122,2014-05-23,0,1,34,419,4389.99642138,72189,1240525.1248647901
302319,['1CHZo7bGHDkdayo3TsMD2qYrM2ou7uzwon'],['1LV594QgNrEz4MAdguktRHcGUVL6sBgd9K'; '20'; '1CHZo7bGHDkdayo3TsMD2qYrM2ou7uzwon'; '129.9991'],['149.9991'],2014-05-24T00:18:20Z,149.9991,2014-05-24,0,18,20,967,17842.45031961,52937,914110.55221591
302473,['15MoU3guLtmvCginTt4ieP3W2YXaK9U2Yn'],['1LXKtExUdQgsXRMkhA9PiBU2w5UBHqoKVh'; '10'; '1KddZkgUvky4GSCKY5P87FDAe3GCrMN6u4'; '90.0036'],['100.0036'],2014-05-25T00:07:12Z,100.0036,2014-05-25,0,7,12,738,9078.93003598,57254,835471.22844824
302634,['1CY5Ag4oP3ujjwawuaBknox63UmZxHHRN4'],['1FjLGrc8roM41ZnxGFYWphMNxvrGBdAeYv'; '978.04672123'; '166KnepkzRpsUM5twpmpj4ji1BdFXrmwzY'; '0.075'],['978.12172123'],2014-05-26T00:00:25Z,978.12172123,2014-05-26,0,0,25,534,4754.69102645,67215,757893.80913702
302792,['1QKDsGKXyoMZdkuJSon5MXiLhmn9BvSAVu'; '112yg6fqccTZWHbK4FEW337sAh2v4Vtwb8'; '1A2NFtEDTo5ZEQe4q9oLeGjak7x6UfQie'; '1CjRvJa1pKhFhVLxKTnm8zcDzYSYUDZxA'; '12FH7P3DdYntEkvCUSirEVMTPNwUoTgT3Q'; '1LKKi7kF712dFW1W5wjFS7SdibKPC1D66y'; '1JCzjyS2QSPGQ51LkQ8PZPQA1fgNswL8Xc'; '19RwDbYbcFKE87GszjyZLEcznS7hfGacrb'; '1JQKP7pEiK4pykPJtQz3a1yKECn1xHcU5i'; '19WNhXH4j64bAgHUnMFmGLEzsXahSgBnLQ'; '1P35RwFBMZDUZnqcmRrGzWLQr1zgKXA3BN'; '1NnXh9TcNhXHfTJbJzDzXZVdybD3pZs1rD'; '1Gz2Xu2GTBGaHwRESpPJE3G8QgrTXA3SyE'; '176hugSe2jLXfT6GFYne8vR2qHFA4fd3wr'; '1FVtLDP7CVgN2j6UczZ2X4TWZ4ExqohC5j'; '115hkEKTn4HUhjJi62KAUgbbW8gkTM4smy'; '1KpPsJEGJ3NShEe7UBm6qX7fxZFRp6izwD'; '1N32gucV5dki2GK6CRLJ534XJbmjyRdrzM'; '1CyjSL95nKrYBuvfL8ZE6bLDsQYwjDhNB1'; '1Am5xkMtiVQPqjtyn6rTWKHzyzXeBR4m4E'; '1uarpigW1DV5ddHABo8UT2biGuo3CN1UH'; '1LFPkXrULW57NA7Svp3iomJLq1Q1LHB7We'; '1BDFCa9wiwwWNWk2XuUdd2vXq1yAp6Qu3P'; '15xy9y4zqDPMt5F27m1RhnXJvqW9qFx3KC'; '1LyC6o5cpgKHdcKbjzMHxM7SCY922CDBdP'; '1M1WCahERn5Zt5gz4SBmtpJtFroFbZJBZb'; '133HmeTfvuSxkn2Nx8PrE5bU1C46NaWoM2'; '13ZZSJhZ9RSvbL1VRNgk3atyTuYYyvUH4f'; '153xbeSNUJuuud5PSFh8g58ghbLv6Hin8Y'; '19TLLpvzmsX3LJEp1p75hXtcrXxKx1tseD'; '19TTPaAvBXx5HanZ99AYkxCKuFfvrLbure'; '1J1LEYA3wuFPJDMAdQuzN6AZrHy5Zudkof'; '12bbkLyZLsKRdRbNYD6u2vQSBHyRYoRuYy'; '1HQgiwgo8N1ZpcsHWMsib33VsG5nxogRUA'; '1Q49aZ9pcxV4zGBub5nnht31PVe549vvVv'; '1GhS7dA6nQAcR9oLg4f7XXCpdNyzK9edS'; '1Daa2zGhxKePjdqouGLgaY5Tg35vcKuMzG'; '1632rMDw1mhnB7sV1rVV1mmKc9p6oSVy8y'; '1JJeF8GcEDAMH5z7yzRJQYR8qXZXCppWZy'; '18QJLPy6FdwdKYFKdasiR8syycKkBm2sYS'; '1AxRHz8UdMGU8YvyDKXSeQsQrVApWp7zsm'; '1KQX5k7gSGR6TX8cHMLTjqtvdreCuMemJk'; '1MubPvtyEKX5q7WCJisXMRmUwPCDSgXTL3'; '14RfmtsLyyA3m219Kw6hmdAXRqgvXipB6C'; '13qoMedv4fKQ9bH1fEos2uroAZ2N2Yzkvj'; '1GQiwRiPwL68Ms1EM6J2P2etTUULAZg4Wp'; '1BcWtvbJ6kVx2y1qCSWPpED4VmPHdn5jLW'; '1EWR1nDND7AefGbY7mfGvku6bhkr2W74ot'; '1JpTPtQwBnzvZ4DY96oukDjYxhXMRc5hN6'; '1BC3WvSvEx4umB5vC6z3PQCD6xB4ZVPaYy'; '1GBCznKrcwL7gXrNgE9tPeytcaxTzZCkfE'; '1Gdfd4bUK6NokSWsb72aXtpqNwe5fuqsgd'; '13vS7bCbJUiyWxNJuD5kb8qjDdhNkKFJac'; '1JZYPz2QULT3EDHaGdGAqSbS8QDPiGxqMG'; '16EKc4w95abQJLaPcY1B4JwSreYZtgfC4N'; '1C2dbWiNXC4azM9FZWY8r3sEmeZPcw8GyY'; '1M3CgXd5UszeBSHMNfybqXw2QWC7QGtSLd'; '1LUw9q8oXhvMmquTPJ1mBX24YvkePa922p'; '173HYhb3snNKSUMSYybvn71EpWvgeBGVoP'; '1EX8T71MF5jMvhLum1j38Ur8Gvcz9meLoe'; '1KmTUe1UsNa1zPzr6uFyoXK7p8C2fQQmoL'; '1G5XqrLQW5hDQRHSKMtraaqrA9m7Ep2cA2'; '1A1RTzCizzCVo6mrgsnX2jmHSk7PeXaQfZ'; '12XW6rHpyS7m7UDXYPPZPkSJfiRePhNyfg'; '136EQ3ow9eL6CDrUDTzNVth1N9waZVguXj'; '17wVNUn4ukWHTx7eFtFAbHQiGMoWUqUoFK'; '1M3MN51JmEKVRTXS7miu2ssSy1nHVLC6ji'; '1A3wQnapsAGbvmJ7bG5VmJMmoLWkzqFw9e'; '128JRu7sR71sazjpxfpo3T7QrZqoDJptEK'; '14LfgyWTLseXbSvPg59WNxKL8VTwY5vb33'; '1HwjafURDDfYhebatxcvbpdCyK373RpdL1'; '19BmYzbSteee6UAE5QUh5z6UHRAQtX7hNK'; '1Jjo3tjfMJj91jmECEdYNzJXgJSP7REF99'; '13iS5hAGW6fPbdkWcazN5ph4DoQrjeEMnN'; '1NNR35MoHsfFwqtubDppXFKciFmdVAPQuU'; '13Yi5TELsUp1jZRkC7paGJWDhL9JHSWaKY'; '186agx3xBupSm4KfMbRbvPhQQuX9hLvHYi'; '1KT2WyFLgwkQ8d5ajAXfFRLExc4JWcJxas'; '1FN7Q2UX33U79YoRH6jjbP8mZ23tAiyMqn'; '13mmXtfL5XQmRU4fpsuBEsnGf2QBxzHoKo'; '1LWSp6yhdQPH9ycR7JSCuxFQTPDrdEC1UV'; '1HSXg3sJdGxXreWZmmTwt82TEES61puRZ'; '17dTMTfYpkc9xDWXemd35YR5TC6m28EH9F'; '1FsLS1ajhYXzSnd8KgBTs2UJVovmuvGwo8'; '1PN2zJSgwWQrSR6GVb4xvSdBM3PLoiDL3G'; '1K9ovhFKKt4PVi3G3m3juFTLCqKREQHN2s'; '12RobswxCJ1wZQs45UbpiW5vgwCdok84nF'; '15q6rWEhUxcDDaDjm9QpCfkBp3ynFBp53E'; '1dew2sjf6KyfiV9btzh5PZzhL9qfNm4VB'; '197rr2WP6WVq2G9c18f5M2ZNpdFi7RDvzr'; '1EXXVwfuVAzkxzXAXrUpu3v52web8PEJyG'; '1PfaW8L8xPJXHwCcHEQk1fsvUWh23exrDU'; '16zzytkzp5R6C6HWRw6E43A9t4xtRp16uC'; '1gGMvUcSMMmjXXhtVeXNmP4oHraWJuj8G'; '1GNU6ei7tkhazrhezrBLdVaDYSFVQM7HM9'; '1BiLYvRCsBFTHpZ9GdM52oeFnFHriFUqNS'; '1Jpvpi9dyWGgNXy6rDefkUXcPkpNSrKPct'; '1B8uvzUvWjvTC6jU6aTYJYukdiofF71kP9'; '1G8QcsAwqqYC9QNahsq2MuJoZyT3PMLyer'; '1KkkpXWSLceU56jtYhBnEb1svtKRBiXhH4'; '1ECUUHJutFx28fzci9abYCLUau6oJ3Siuw'; '1MGvdH6HPwrjihtQmiFi9w7vdx6EDEgaSJ'; '1CNKXgKB5fwYrCyNYJyx9NahZXgq3ZNg6J'; '1BJjRk94VLmAtRd3eMKmfq1QwFF6ntV5v6'; '1BPnxm4FbciFFBck6XgDWqAED7Nq4LQJF7'; '1BArJWjdjzZXtVrmKWv4CNcrZhZfKWBusM'; '16RdSsEHJHzmv7wGD9JzSEKeQmN1yAxJtS'; '1MK6yZRvYjctdypou1AbeR8enkfyJDHk3t'; '1HmEeL6EjsuYjFEPrsXfzTs9ox39bmueLC'; '1APPnLoRA7g7QE6yVqQRqtSGjVuUX7FVJ6'; '1H4sXfc7KjTKgULd38dRWNUBniavFtmWcK'; '177RtgRvMGkxjZQ93GaqaEpXRZitQMmn5c'; '1A78WxBfem2NQGSMXiajUMWMg6axae9jiH'; '137mrfdrYjHVpYXqcxdTCCnKrXPiFyx9yk'; '1Aft83ESZBJVXSZZNFCD2rLXQUTiCd1naq'; '14dfCNz85Z9oQpe4e1brTnyf7avjTidebm'; '14MTkvt28UHQe6DqCz7ZMmbrCrZXhZZx6q'; '1Bev3tAu3PGaEEVc4JGTdCeugKwhWKC7qU'; '1JkBbbeefNHQ6YNHM5QdYzrNKsMubnDF1i'; '1MaXb4bcDTKRMxx1FuwQGULaP5amuCWokg'; '1Di8pS2pNdWsWRMoL9jARpde18rjsPVWNc'; '1GAMcNQmgkD26iywJVVirqpsAVwW3P9Hdu'; '1M4o1Wr49N3aGRGPQvM3Vnk7d4bkNhh14w'; '1MY5LzfYKWukzQUKqjZKJwWGBKy8ma7Fkr'; '12ydoxcRtpDrT4kdLy2F7Lr1NQzHAqkpcH'; '16pVLJ8AuDeXM4E1frv9nSk7NAYpf3fuC7'; '1Gm5VMfWrkujDS5W2CauGdvi27qDPeAobX'; '15LV3t87d6ZLq2NHpNdmwSii2sfxKVff6K'; '1KST3MkMCsfbKzwmCMFeJzoxQCAeYYF4tz'; '1EAzHTVNKQGbwgJnXyVBYQTT2NjATBRJMr'; '1GXigsLnVgmnSpfuH4LUGvQWopCk1wQFok'; '1GSfGiMCdEqoB45G5aKNwB1BX8hrePJmUa'; '1FuiuySGS6NxsSsHoEKaGwX2JVEL92vwB5'; '1Bf5s39BkPbbbRfKU55HgwJ7Qjw2zQQcEU'; '1CjsCsTvED3zVzB3rPUTyuCA5DpEtoQL5Y'; '19rVxKr81trmDVWz9mXQ6G3Ge4EG22uDjR'; '148FpHhxrbCaRaLzN6oZHexW3m7Byuk6NK'; '1LPvd5hTz6S5KdzLeCFLWhoBYM2srK6zrM'; '1B3Do7nbMX2tbANZYiDt3Z3Hx3HhWFYcXP'; '1LMaXryhMfWBrWqKQbRrnZxjehHYvkZ5Dd'; '18isuUJH6qfMwfu8gRF6DCWFsy2oEWRjUi'; '1LiFewNiNGiJdJEqMW28ccBN21pXS6mNrS'; '128aRh4WBnvDzgxSK8SBdZi7wzQLZm6o1K'; '1KWFFMXhYZTvzsy8jj6crxPjFVgx9VuoC7'; '12WSbwGzRSkpzqqcfDBKjqZF4xtZLtSgJf'; '1BBxB8p9ubMiiVZohtnQa4zKDg2W3UGpM7'; '12AoTWahn6ryPbRHUJsibDvXSHMeZZz2AT'],['16R14EH4v8A9GPXkAAP8gcMFBA8oxA8nbY'; '2246.34802733'],['2246.34802733'],2014-05-27T00:00:18Z,2246.34802733,2014-05-27,0,0,18,255,3921.69899338,68667,950208.38462472
302928,['1Koh5GktyKvoUw67onj7Jg7GcP45WLYEXR'],['1AHunEvFM29f8QZxKtW5k7Qn4TAB4iNndu'; '0.583699'; '1Koh5GktyKvoUw67onj7Jg7GcP45WLYEXR'; '1.416201'],['1.9999'],2014-05-28T00:00:57Z,1.9999,2014-05-28,0,0,57,851,4312.31945896,71899,865516.73663522
303097,['1EdaymC4r3EG3mKJUJCCTbuFfYVExsqRZc'],['19FR4hjwhEF7gYmd5MhmynwtWvExHTyzSx'; '10'; '1EdaymC4r3EG3mKJUJCCTbuFfYVExsqRZc'; '21.8499'],['31.8499'],2014-05-29T00:04:12Z,31.8499,2014-05-29,0,4,12,671,10344.21877541,64607,652075.47212169
303238,['1PRcEYrCwnQ5XZ5H3XtE1wBMZju6VH3GEv'],['1Minee6w1JyB5Z1S8SrF4WCEgnAtoFZbWo'; '0.02169917'; '19HUJy5vk92zEtNfDEPVKn9TkmEEaVSgoU'; '0.00129343'; '19kX5Gu2dWFHiyCqb5vApndb71LbpnQkyc'; '23.40254842'; '1GFxPcJ7UqV76aWwcdZg9YJa1ARKmUq9rr'; '0.0011031'],['23.42664412'],2014-05-30T00:00:06Z,23.42664412,2014-05-30,0,0,6,54,69.07650566,65163,927195.50623738
303405,['1FYf5TPaRbF7GNANfeXLTStfxFbGJJx33b'; '1Jy3esAv5taotATdcEvMktu82o1HN35QqJ'; '1KWG4rgmHiLzcz9zHePBptK9EghExg7Udu'],['1FkgHQWmmYXZzNgmZzq6KPMX3S39rsuw9k'; '3.94685491'],['3.94685491'],2014-05-31T00:00:43Z,3.94685491,2014-05-31,0,0,43,420,4666.20671938,51944,584664.40386018
303552,['1FhFmCCJNDyCNrVhFu8KwHwohrBYi9ajZJ'],['1DD14eVQKUBstY2xE7QgWs1JPtbxEhTjEe'; '0.001'; '1ANLQKFKDVuqfEqssidRRqWUQoADsw167J'; '0.00768577'],['0.00868577'],2014-06-01T00:00:43Z,0.00868577,2014-06-01,0,0,43,318,2218.0691523,55220,738370.26168193
303727,['1EnP9XEdqGk7xc3iNFsrRRMG4sVzBHj7Bh'],['18JuoCT8p9ChE5QjqXWzzSuN2BuYhNxk5s'; '0.24009'; '19vLMf7Sk9Y27DhMbR8tFyUgPRHTkekjfw'; '6.86691'],['7.107'],2014-06-02T00:06:26Z,7.107,2014-06-02,0,6,26,541,5025.4129357,64695,952488.44305967
303920,['1PqeMdCUq8rd7yywbkhoW8oKQZSUEyoddF'],['1GpxwxvwVbEEeZ2XtDma5eFqwhaSnRnKqx'; '86.23887139'; '17JfGuyzRKGyw5TuWeViiH7UWZp8i1D8qt'; '0.01'],['86.24887139'],2014-06-03T00:00:31Z,86.24887139,2014-06-03,0,0,31,644,8335.5137333,68972,897309.46819869
304097,['3KPjtDNyTi8Lw1rH4VLDqBJjqFhNC4oAac'],['13kkVxyBMtnz3ymXmit47x2pEJ21AwLCzf'; '0.14811246'],['0.14811246'],2014-06-04T00:00:01Z,0.14811246,2014-06-04,0,0,1,69,194.25342301999999,64857,1034526.28094997
304279,['1KDTrwwu2wsBoQBUDBJX27RsvmjmcMr84S'],['1LmZt3XPeznZRkzwKfuQBA947BEAHkhtej'; '1.1'; '1MPNYpEB2DbbE5CuPcREuUDqzGMqi7MPst'; '5.5010811'],['6.6010811'],2014-06-05T00:09:56Z,6.6010811,2014-06-05,0,9,56,975,16456.28873031,67403,955987.4677393
304431,['13AHL4EgDW6RV6jJRGfsYfsHqb43McsrBG'],['1Q7jR8tLteL6C59bLYwWm26pcRjFFYFJdi'; '0.03796392'; '13AHL4EgDW6RV6jJRGfsYfsHqb43McsrBG'; '126.96133608'],['126.9993'],2014-06-06T00:05:41Z,126.9993,2014-06-06,0,5,41,1064,24107.09551451,61381,1031983.6060753
304570,['1GMDsQFdyyaYDAxtarg6pRb4N8t66MELuP'],['16mrAdkBVWyhBgd3ne7SXxi1XkxkU1QD5D'; '0.031'; '1DYhmrbv2DoaSj4S4jhAF7TXZnsuPhHLg2'; '0.05'],['0.081'],2014-06-07T00:02:56Z,0.081,2014-06-07,0,2,56,290,686.74126989,51249,607733.49520872
304725,['17Nk3M54APnNnHmQ1iDnQXtLys99EXDxBB'],['18hjiTwRmZeXv82ZfgA8CLuDu9PfCvCGDn'; '50.0001'],['50.0001'],2014-06-08T00:03:27Z,50.0001,2014-06-08,0,3,27,904,9398.03657655,48427,765307.20910654
304861,['14j7brbGgCdDZSnwhA8scnZpjR8qd4NsrU'],['16NA9AvpwzvVuNRLjbjgRNTtPR43dzeMRk'; '0.1'; '14j7brbGgCdDZSnwhA8scnZpjR8qd4NsrU'; '0.26539593'],['0.36539593'],2014-06-09T00:02:23Z,0.36539593,2014-06-09,0,2,23,511,614.13945857,59157,384302.43546602
305017,['1LSurub8gSyNCwXobuLgFNyQ42t5VmwG1v'],['12SoUbMm8nAzArih9U5bEScMxr4nJFm8VB'; '0.25'; '1LSurub8gSyNCwXobuLgFNyQ42t5VmwG1v'; '3.74743442'],['3.99743442'],2014-06-10T00:00:58Z,3.99743442,2014-06-10,0,0,58,123,1149.48654482,64297,599524.11374877
305184,['3Aats5HzypR59S5EEANctyRo5mKdQPs6EV'],['12N2u3uWNTxRqe2Kb13X6puErfW4URZ2r8'; '5'; '3Aats5HzypR59S5EEANctyRo5mKdQPs6EV'; '20.31898781'],['25.31898781'],2014-06-11T00:07:02Z,25.31898781,2014-06-11,0,7,2,634,2852.79434243,62900,533770.97582456
305330,['1LjqWVDMMdpU4qDJqQncVZ5svsQNhqqHjU'],['18NVaFYtnThXW7jhpKnermxAvYEwUpQdHp'; '0.035'; '19uFPkQwNvcvG4FFE1ApNBRNumZWXNCmUH'; '0.09'],['0.125'],2014-06-12T00:01:38Z,0.125,2014-06-12,0,1,38,787,5287.0025347499995,63992,1103454.60872633
305502,['1Zj6fujkp9XHfT8VhRMF8Ej3HjUtAx73Y'],['1CREnaHnC5sAxdZgJ4Kz8N6H9Ksrg28SoP'; '0.01'; '1Zj6fujkp9XHfT8VhRMF8Ej3HjUtAx73Y'; '1.9848371'],['1.9948371'],2014-06-13T00:00:49Z,1.9948371,2014-06-13,0,0,49,241,4371.1667920400005,64725,742751.22260289
305665,['1AkDhUb23puci2UwHEqTc1dxzjKePS4ij6'],['1MS1p2W8GyWbJaiGXWnw5sUgJiGst5RVQb'; '0.001'; '1AkDhUb23puci2UwHEqTc1dxzjKePS4ij6'; '9.9984'],['9.9994'],2014-06-14T00:00:55Z,9.9994,2014-06-14,0,0,55,232,777.72723582,53464,456071.37045107
305843,['1Lk5Paws9T1YpoSeLeZT7ZeSQKW7UNq4TJ'],['1PxrkQfPc9cvgPd4okAusye359jUgjcrPH'; '17'; '1Lk5Paws9T1YpoSeLeZT7ZeSQKW7UNq4TJ'; '0.02519434'],['17.02519434'],2014-06-15T00:07:08Z,17.02519434,2014-06-15,0,7,8,378,1409.4667509,54460,455152.55641125
305949,['1oKvmYLxJj4ZRyPZhoEWkngUtozg2t5RR'],['1Dorian4RoXcnBv9hnQ4Y2C1an6NJ4UrjX'; '0.002'; '1oKvmYLxJj4ZRyPZhoEWkngUtozg2t5RR'; '0.002'],['0.004'],2014-03-09T19:48:36Z,0.004,2014-03-09,19,48,36,27,44.25456094,1,0.004
306033,['1AE2X5ZgBF5NTdL6rVPdEbJRXmTFxkbQor'],['1PCu2446FNcFEqAreVb4ispuwVP5h2RKYi'; '71.71241393'; '1CJQryJwgzbCGfeWKjdSBurC8c69tTtdoe'; '0.011'],['71.72341393'],2014-06-16T00:05:52Z,71.72341393,2014-06-16,0,5,52,1023,16099.78627895,67331,729727.91036954
306221,['1FnURpeXK7MriuG9M8agfXeffPF4vGhpde'],['1NDBNFUwYLSYKuWn5DuaQTgYbbYJ98e8He'; '5'; '1FnURpeXK7MriuG9M8agfXeffPF4vGhpde'; '0.9998'],['5.9998'],2014-06-17T00:02:38Z,5.9998,2014-06-17,0,2,38,881,6069.9596997,69075,473644.9753321
306405,['1Gj2rsDdYEzmh7xddKYC2rDWmkEwGZUCzi'],['1A1yTeca4vWzN431Jghz74cNYr5RHAhai6'; '1.9999'],['1.9999'],2014-06-18T00:00:07Z,1.9999,2014-06-18,0,0,7,483,1747.94945249,63774,545261.03004852
306563,['1PufBJk2c2HYq5wNap9yjmjSw6G3iD6mr5'],['1EQvpVvPVtZrwwrSoXY1mMrdVuCqaiVKEy'; '300'; '1PufBJk2c2HYq5wNap9yjmjSw6G3iD6mr5'; '5139.099'],['5439.099'],2014-06-19T00:08:00Z,5439.099,2014-06-19,0,8,0,593,9407.72936597,62141,717440.32141261
306730,['1C9HormWeoiDPTviuGKq3pvT6XcruZRB8o'],['1AcNf9a1akAEbWnyCE4xU3ntTb21B2nBmG'; '0.1'; '1PQ9idzjrQmmfFtb5u4JugAKocwNsS19xh'; '1.231026'],['1.331026'],2014-06-20T00:00:04Z,1.331026,2014-06-20,0,0,4,221,3327.3353964099997,57642,565389.61149312
306916,['15xiShqUqerfjFdyfgBH1K7Gwp6cbYmsTW'],['187b1MZr73iuPGnABu6d4eSYmt2NQHkTqt'; '20'; '1DGvzU9nB2bQLAKR72ZbD1hGcDpGzY8R5N'; '5.61163553'],['25.61163553'],2014-06-21T00:04:52Z,25.61163553,2014-06-21,0,4,52,754,7832.15273004,50811,453889.57718373
307104,['1Ps4cB1c5eKTdk6uTLRgs5MTbffFY2npYu'],['16HMu5Q8STBEswz4JmoSzNHNzvabe8qXsi'; '139.5'],['139.5'],2014-06-22T00:30:51Z,139.5,2014-06-22,0,30,51,511,2958.12091589,50447,527533.72736642
