Height,Input,Output,Sum,Time,trans_num,block_date,block_hour,block_minute,block_second,trans_per_block,total_btc_per_block,trans_per_day,total_btc_per_day
300001,['1CXpaiN5dgZA8RVrqe3YJ5iG3uWUGJ34yb'],['1E2AqfAqUwzbtYYUnazCUHKjKrGJavUjgC'; '0.0425'; '1CXpaiN5dgZA8RVrqe3YJ5iG3uWUGJ34yb'; '17.9572'],['17.9997'],2014-05-10T06:41:03Z,17.9997,2014-05-10,6,41,3,511,6616.74484675,41491,450842.04480557
300008,['1APuy4J79eyDKJRExoYjEZmGxpmoyMGXnU'; '1LG6ceR68WXfaGKtrMRi5Ek2DoHCm6TyUb'; '14brkcntvRVUhPxzvyMPaeg4WZC7Zj8XXc'],['1JQHiByS9QXxfhHPQEfb9GxaMPfagRdGzG'; '3.22564332'; '1ErdaTkbCvA7jv4z2xfKvgD5NicUyX4bUo'; '0.04614816'],['3.27179148'],2014-05-09T23:30:35Z,3.27179148,2014-05-09,23,30,35,127,1472.28362034,54,21.4990389
300009,['12Ek3PNavi9UnGvyU3vvL5FtRdprjk7F2Z'],['184ZNvCVP6td4yQcE9HghHYC4CCZRuSt9w'; '0.2768'],['0.2768'],2014-05-08T08:26:11Z,0.2768,2014-05-08,8,26,11,93,245.96557898,14,9.46201119
300137,['1yGe5j4xh7fUHdLBcYtLCUj8Rmor4vJzR'],['1K81mFUuwwgmsHKX2kQcMtkiDNb9vy36zS'; '1.1109'; '1yGe5j4xh7fUHdLBcYtLCUj8Rmor4vJzR'; '73.889'],['74.9999'],2014-05-11T00:06:51Z,74.9999,2014-05-11,0,6,51,511,7669.18358195,54688,462745.58053982
300289,['1Ho7sQgc6i6MnG86sdQGXLGo14q8Vdwfft'],['1KGoix7zrVT8eCM99HH2UUrQVxFb6Yj5AA'; '0.0011'; '1Ho7sQgc6i6MnG86sdQGXLGo14q8Vdwfft'; '0.4778'],['0.4789'],2014-05-12T00:02:12Z,0.4789,2014-05-12,0,2,12,1093,8846.49907983,72626,541405.0672728299
300453,['17i9xfybvQz8PDQaJUXehnRAr3WUrxPsCM'],['15p19K7psks9PP2faLhFRrn7ooyimGJaun'; '56.76'; '16wMZW9xMT2CDT9uufhEjWkUgaKp9DFs39'; '200.9085'],['257.6685'],2014-05-13T00:16:38Z,257.6685,2014-05-13,0,16,38,964,4075.63495107,69059,672812.63012559
300615,['1EQ3fxyATvtVJX1ijjejGhF2hLx8uRLbnt'],['1Ae5TsyrEEdkYrFHe2zqJvzLnaYKaJfhbK'; '7.5'; '1LDb8UcLUCq2bnAYty51PFfFYcRhYpn4vZ'; '12.5'],['20'],2014-05-14T00:00:56Z,20,2014-05-14,0,0,56,837,8285.91981151,69673,729744.16666242
300765,['1ZbPLoqjTHY1L5bvX8MBMeJ8tazCDQDzR'; '1DXzdPrgnk4kbcxSYVDv1NpxcXeDihyfG3'],['1ByGyaG9peoHf9iBiADsyx9131wdL7UeJR'; '1078.9898'],['1078.9898'],2014-05-15T00:03:44Z,1078.9898,2014-05-15,0,3,44,649,8837.58671076,74418,817364.26097702
300937,['18FBKHnnLUz4aSx4XxgJhNRzo9FaUXbxnq'],['12YoMmLCQDsmnfvvGZF4UKAHmHTbVJwRiC'; '0.0459'; '18FBKHnnLUz4aSx4XxgJhNRzo9FaUXbxnq'; '1.634'],['1.6799'],2014-05-16T00:00:56Z,1.6799,2014-05-16,0,0,56,105,1101.27189536,65262,647018.86094467
301117,['1N7GNqJRXTv8BDH1UTN1LSEsfFReRtNEbJ'],['17NGjbPHFbWjLPiaVs3aSg4L4v3QCj6tjX'; '11.6104'; '1DbSxZKCcso3qo4gvJkfxgwEB1tb8MNk9P'; '0.057'],['11.6674'],2014-05-17T00:07:57Z,11.6674,2014-05-17,0,7,57,419,1592.2701592199999,53611,485089.804286
301290,['1MEhbqsyCVhZrcoztkAS3iADwhrke3oPPN'],['19eBHPhPshf2kLXTprLGsygF1bP5peE2TK'; '0.1113'; '1MEhbqsyCVhZrcoztkAS3iADwhrke3oPPN'; '8.9165282'],['9.0278282'],2014-05-18T00:10:54Z,9.0278282,2014-05-18,0,10,54,646,5097.61510484,49592,268605.62725398
301352,['14QJNSSzW5pZQ1L6VvLNokiR5oAFMUCE53'],['1CQuMi4sr9PmE5jkKXWJCjDwQ4ibf99HEp'; '0.0051'],['0.0051'],2014-03-11T13:12:58Z,0.0051,2014-03-11,13,12,58,339,1409.89516605,5,0.01454818
301462,['1ArNxqbeEPRLD2z9W9rmoEssDrfvJ2TdEG'],['1KWcNBRQCz1iEFMLDjG48as4UZ8eCEVhVu'; '2.8888'; '1ArNxqbeEPRLD2z9W9rmoEssDrfvJ2TdEG'; '79.461'],['82.3498'],2014-05-19T00:12:59Z,82.3498,2014-05-19,0,12,59,661,4114.25537542,64352,530209.36252426
301630,['19f33fXZ2i3rEGXzq6hJCXgAZNoZ81WVht'],['1EG4awWt6FYR9w1RuChwafcwXCzPiMweV9'; '2.2346'; '19f33fXZ2i3rEGXzq6hJCXgAZNoZ81WVht'; '41.3751'],['43.6097'],2014-05-20T00:00:12Z,43.6097,2014-05-20,0,0,12,440,5949.62946846,71482,1494534.15896744
